tag,n_cr,strain_type,epsilon,filename,conv_thr,mag_init,file_found
fe12cr04,4,s,0.0,fecr_fe12cr04_s0.00.out,1e-08,FM,True
fe12cr04,4,s,0.01,fecr_fe12cr04_s0.01.out,1e-08,FM,True
fe12cr04,4,t,-0.01,fecr_fe12cr04_t-0.01.out,1e-08,FM,True
fe12cr04,4,t,0.0,fecr_fe12cr04_t0.00.out,1e-08,FM,True
fe12cr04,4,t,0.01,fecr_fe12cr04_t0.01.out,1e-08,FM,True
fe11cr05,5,h,-0.01,fecr_fe11cr05_h-0.01.out,1e-08,FM,True
fe11cr05,5,h,0.0,fecr_fe11cr05_h0.00.out,1e-08,FM,True
fe11cr05,5,h,0.01,fecr_fe11cr05_h0.01.out,1e-08,FM,True
fe11cr05,5,s,-0.01,fecr_fe11cr05_s-0.01.out,1e-08,FM,True
fe11cr05,5,s,0.0,fecr_fe11cr05_s0.00.out,1e-08,FM,True
fe11cr05,5,s,0.01,fecr_fe11cr05_s0.01.out,1e-08,FM,True
fe11cr05,5,t,-0.01,fecr_fe11cr05_t-0.01.out,1e-08,FM,True
fe11cr05,5,t,0.0,fecr_fe11cr05_t0.00.out,1e-08,FM,True
fe11cr05,5,t,0.01,fecr_fe11cr05_t0.01.out,1e-08,FM,True
fe10cr06,6,h,-0.01,fecr_fe10cr06_h-0.01.out,1e-08,FM,True
fe10cr06,6,h,0.0,fecr_fe10cr06_h0.00.out,1e-08,FM,True
fe10cr06,6,h,0.01,fecr_fe10cr06_h0.01.out,1e-08,FM,True
fe10cr06,6,s,-0.01,fecr_fe10cr06_s-0.01.out,1e-08,FM,True
fe10cr06,6,s,0.0,fecr_fe10cr06_s0.00.out,1e-08,FM,True
fe10cr06,6,s,0.01,fecr_fe10cr06_s0.01.out,1e-08,FM,True
fe10cr06,6,t,-0.01,fecr_fe10cr06_t-0.01.out,1e-08,FM,True
fe10cr06,6,t,0.0,fecr_fe10cr06_t0.00.out,1e-08,FM,True
fe10cr06,6,t,0.01,fecr_fe10cr06_t0.01.out,1e-08,FM,True
fe09cr07,7,h,-0.01,fecr_fe09cr07_h-0.01.out,1e-08,FM,True
fe09cr07,7,h,0.0,fecr_fe09cr07_h0.00.out,1e-08,FM,True
fe09cr07,7,h,0.01,fecr_fe09cr07_h0.01.out,1e-08,FM,True
fe09cr07,7,s,-0.01,fecr_fe09cr07_s-0.01.out,1e-08,FM,True
fe09cr07,7,s,0.0,fecr_fe09cr07_s0.00.out,1e-08,FM,True
fe09cr07,7,s,0.01,fecr_fe09cr07_s0.01.out,1e-08,FM,True
fe09cr07,7,t,-0.01,fecr_fe09cr07_t-0.01.out,1e-08,FM,True
fe09cr07,7,t,0.0,fecr_fe09cr07_t0.00.out,1e-08,FM,True
fe09cr07,7,t,0.01,fecr_fe09cr07_t0.01.out,1e-08,FM,True
fe08cr08,8,h,-0.01,fecr_fe08cr08_h-0.01.out,1e-08,FM,True
fe08cr08,8,h,0.0,fecr_fe08cr08_h0.00.out,1e-08,FM,True
fe08cr08,8,h,0.01,fecr_fe08cr08_h0.01.out,1e-08,FM,True
fe08cr08,8,s,-0.01,fecr_fe08cr08_s-0.01.out,1e-08,FM,True
fe08cr08,8,s,0.0,fecr_fe08cr08_s0.00.out,1e-08,FM,True
fe08cr08,8,s,0.01,fecr_fe08cr08_s0.01.out,1e-08,FM,True
fe08cr08,8,t,-0.01,fecr_fe08cr08_t-0.01.out,1e-08,FM,True
fe08cr08,8,t,0.0,fecr_fe08cr08_t0.00.out,1e-08,FM,True
fe08cr08,8,t,0.01,fecr_fe08cr08_t0.01.out,1e-08,FM,True
fe07cr09,9,h,-0.01,fecr_fe07cr09_h-0.01.out,1e-08,FM,True
fe07cr09,9,h,0.0,fecr_fe07cr09_h0.00.out,1e-08,FM,True
fe07cr09,9,h,0.01,fecr_fe07cr09_h0.01.out,1e-08,FM,True
fe07cr09,9,s,-0.01,fecr_fe07cr09_s-0.01.out,1e-08,FM,True
fe07cr09,9,s,0.0,fecr_fe07cr09_s0.00.out,1e-08,FM,True
fe07cr09,9,s,0.01,fecr_fe07cr09_s0.01.out,1e-08,FM,True
fe07cr09,9,t,-0.01,fecr_fe07cr09_t-0.01.out,1e-08,FM,True
fe07cr09,9,t,0.0,fecr_fe07cr09_t0.00.out,1e-08,FM,True
fe07cr09,9,t,0.01,fecr_fe07cr09_t0.01.out,1e-08,FM,True
fe06cr10,10,h,-0.01,fecr_fe06cr10_h-0.01.out,1e-07,FM,True
fe06cr10,10,h,0.0,fecr_fe06cr10_h0.00.out,1e-07,FM,True
fe06cr10,10,h,0.01,fecr_fe06cr10_h0.01.out,1e-07,FM,True
fe06cr10,10,s,-0.01,fecr_fe06cr10_s-0.01.out,1e-07,FM,True
fe06cr10,10,s,0.0,fecr_fe06cr10_s0.00.out,1e-07,FM,True
fe06cr10,10,s,0.01,fecr_fe06cr10_s0.01.out,1e-07,FM,True
fe06cr10,10,t,-0.01,fecr_fe06cr10_t-0.01.out,1e-07,FM,True
fe06cr10,10,t,0.0,fecr_fe06cr10_t0.00.out,1e-07,FM,True
fe06cr10,10,t,0.01,fecr_fe06cr10_t0.01.out,1e-07,FM,True
fe05cr11,11,h,-0.01,fecr_fe05cr11_h-0.01.out,1e-07,FM,True
fe05cr11,11,h,0.0,fecr_fe05cr11_h0.00.out,1e-07,FM,True
fe05cr11,11,h,0.01,fecr_fe05cr11_h0.01.out,1e-07,FM,True
fe05cr11,11,s,-0.01,fecr_fe05cr11_s-0.01.out,1e-07,FM,True
fe05cr11,11,s,0.0,fecr_fe05cr11_s0.00.out,1e-07,FM,True
fe05cr11,11,s,0.01,fecr_fe05cr11_s0.01.out,1e-07,FM,True
fe05cr11,11,t,-0.01,fecr_fe05cr11_t-0.01.out,1e-07,FM,True
fe05cr11,11,t,0.0,fecr_fe05cr11_t0.00.out,1e-07,FM,True
fe05cr11,11,t,0.01,fecr_fe05cr11_t0.01.out,1e-07,FM,True
fe04cr12,12,h,-0.01,fecr_fe04cr12_h-0.01.out,1e-07,FM,True
fe04cr12,12,h,0.0,fecr_fe04cr12_h0.00.out,1e-07,FM,True
fe04cr12,12,h,0.01,fecr_fe04cr12_h0.01.out,1e-07,FM,True
fe04cr12,12,s,-0.01,fecr_fe04cr12_s-0.01.out,1e-07,FM,True
fe04cr12,12,s,0.0,fecr_fe04cr12_s0.00.out,1e-07,FM,True
fe04cr12,12,s,0.01,fecr_fe04cr12_s0.01.out,1e-07,FM,True
fe04cr12,12,t,-0.01,fecr_fe04cr12_t-0.01.out,1e-07,FM,True
fe04cr12,12,t,0.0,fecr_fe04cr12_t0.00.out,1e-07,FM,True
fe04cr12,12,t,0.01,fecr_fe04cr12_t0.01.out,1e-07,FM,True
fe03cr13,13,h,-0.01,fecr_fe03cr13_h-0.01.out,1e-07,FM,True
fe03cr13,13,h,0.0,fecr_fe03cr13_h0.00.out,1e-07,FM,True
fe03cr13,13,h,0.01,fecr_fe03cr13_h0.01.out,1e-07,FM,True
fe03cr13,13,s,-0.01,fecr_fe03cr13_s-0.01.out,1e-07,FM,True
fe03cr13,13,s,0.0,fecr_fe03cr13_s0.00.out,1e-07,FM,True
fe03cr13,13,s,0.01,fecr_fe03cr13_s0.01.out,1e-07,FM,True
fe03cr13,13,t,-0.01,fecr_fe03cr13_t-0.01.out,1e-07,FM,True
fe03cr13,13,t,0.0,fecr_fe03cr13_t0.00.out,1e-07,FM,True
fe03cr13,13,t,0.01,fecr_fe03cr13_t0.01.out,1e-07,FM,True
fe02cr14,14,h,-0.01,fecr_fe02cr14_h-0.01.out,1e-07,FM,True
fe02cr14,14,h,0.0,fecr_fe02cr14_h0.00.out,1e-05,AFM,True
fe02cr14,14,h,0.01,fecr_fe02cr14_h0.01.out,1e-07,FM,True
fe02cr14,14,s,-0.01,fecr_fe02cr14_s-0.01.out,1e-05,AFM,True
fe02cr14,14,s,0.0,fecr_fe02cr14_s0.00.out,1e-05,AFM,True
fe02cr14,14,s,0.01,fecr_fe02cr14_s0.01.out,1e-05,AFM,True
fe02cr14,14,t,-0.01,fecr_fe02cr14_t-0.01.out,1e-05,AFM,True
fe02cr14,14,t,0.0,fecr_fe02cr14_t0.00.out,1e-05,AFM,True
fe02cr14,14,t,0.01,fecr_fe02cr14_t0.01.out,1e-05,AFM,True
fe01cr15,15,h,-0.01,fecr_fe01cr15_h-0.01.out,1e-05,AFM,True
fe01cr15,15,h,0.0,fecr_fe01cr15_h0.00.out,1e-05,AFM,True
fe01cr15,15,h,0.01,fecr_fe01cr15_h0.01.out,1e-05,AFM,True
fe01cr15,15,s,-0.01,fecr_fe01cr15_s-0.01.out,1e-05,AFM,True
fe01cr15,15,s,0.0,fecr_fe01cr15_s0.00.out,1e-05,AFM,True
fe01cr15,15,s,0.01,fecr_fe01cr15_s0.01.out,1e-05,AFM,True
fe01cr15,15,t,-0.01,fecr_fe01cr15_t-0.01.out,1e-05,AFM,True
fe01cr15,15,t,0.0,fecr_fe01cr15_t0.00.out,1e-05,AFM,True
fe01cr15,15,t,0.01,fecr_fe01cr15_t0.01.out,1e-05,AFM,True
fe00cr16,16,h,-0.01,fecr_fe00cr16_h-0.01.out,1e-05,AFM,True
fe00cr16,16,h,0.0,fecr_fe00cr16_h0.00.out,1e-05,AFM,True
fe00cr16,16,h,0.01,fecr_fe00cr16_h0.01.out,1e-05,AFM,True
fe00cr16,16,s,-0.01,fecr_fe00cr16_s-0.01.out,1e-05,AFM,True
fe00cr16,16,s,0.0,fecr_fe00cr16_s0.00.out,1e-05,AFM,True
fe00cr16,16,s,0.01,fecr_fe00cr16_s0.01.out,1e-05,AFM,True
fe00cr16,16,t,-0.01,fecr_fe00cr16_t-0.01.out,1e-05,AFM,True
fe00cr16,16,t,0.0,fecr_fe00cr16_t0.00.out,1e-05,AFM,True
fe00cr16,16,t,0.01,fecr_fe00cr16_t0.01.out,1e-05,AFM,True
fe16cr00,0,vcr,,fecr_fe16cr00_vcr.out,1e-08,FM,True
fe15cr01,1,vcr,,fecr_fe15cr01_vcr.out,1e-08,FM,True
fe14cr02,2,vcr,,fecr_fe14cr02_vcr.out,1e-08,FM,True
fe13cr03,3,vcr,,fecr_fe13cr03_vcr.out,1e-08,FM,True
fe12cr04,4,vcr,,fecr_fe12cr04_vcr.out,1e-08,FM,True
fe11cr05,5,vcr,,fecr_fe11cr05_vcr.out,1e-08,FM,True
fe10cr06,6,vcr,,fecr_fe10cr06_vcr.out,1e-08,FM,True
fe09cr07,7,vcr,,fecr_fe09cr07_vcr.out,1e-08,FM,True
fe08cr08,8,vcr,,fecr_fe08cr08_vcr.out,1e-08,FM,True
fe07cr09,9,vcr,,fecr_fe07cr09_vcr.out,1e-08,FM,True
fe06cr10,10,vcr,,fecr_fe06cr10_vcr.out,1e-08,FM,True
fe05cr11,11,vcr,,fecr_fe05cr11_vcr.out,1e-07,FM,True
fe04cr12,12,vcr,,fecr_fe04cr12_vcr.out,1e-07,FM,True
fe03cr13,13,vcr,,fecr_fe03cr13_vcr.out,1e-07,FM,True
fe02cr14,14,vcr,,fecr_fe02cr14_vcr.out,1e-07,FM,True
fe01cr15,15,vcr,,fecr_fe01cr15_vcr.out,1e-05,AFM,True
fe00cr16,16,vcr,,fecr_fe00cr16_vcr.out,1e-05,AFM,True
